object,role,stream_id,input_bytes,initial_ref_frames,initial_full_frames,semantic_misses,repair_full_frames,forward_protocol_stream_bytes,reverse_repair_control_stream_bytes,measurement_control_stream_bytes_excluded,diagnostic_stats_stream_bytes_excluded,client_ttfb_from_session_ms,client_completion_from_session_ms,client_stream_duration_ms,server_completion_ms,reconstruction_ok,tls_exporter_live,tls_exporter_outputs_match,sender_drain_batch_bytes,mode,round,execution_order
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,163.302,350.666,239.891,180.151,True,True,True,65536,multiplexed,10,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,203.796,351.388,238.564,177.843,True,True,True,65536,multiplexed,10,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,831.889,4680.055,4631.958,4519.219,True,True,True,65536,multiplexed,11,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,161.573,356.22,249.576,164.38,True,True,True,65536,multiplexed,11,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,162.695,532.08,422.941,325.755,True,True,True,65536,multiplexed,11,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,163.804,369.528,258.118,178.093,True,True,True,65536,multiplexed,11,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,204.196,492.467,379.009,319.778,True,True,True,65536,multiplexed,11,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,637.323,4156.094,4107.601,3994.002,True,True,True,65536,sequential,11,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,4202.483,4253.681,95.868,50.259,True,True,True,65536,sequential,11,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,4298.359,4349.97,96.107,50.421,True,True,True,65536,sequential,11,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,4394.802,4446.267,96.092,50.465,True,True,True,65536,sequential,11,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,4491.294,4542.693,96.218,50.557,True,True,True,65536,sequential,11,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,635.868,4638.932,4591.096,4478.629,True,True,True,65536,sequential,12,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,4685.867,4736.953,96.299,49.971,True,True,True,65536,sequential,12,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,4781.956,4833.407,96.244,50.465,True,True,True,65536,sequential,12,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,4878.544,4929.974,96.356,50.459,True,True,True,65536,sequential,12,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1136,4974.967,5026.46,96.285,50.549,True,True,True,65536,sequential,12,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,1158.647,5434.546,5386.25,5273.505,True,True,True,65536,multiplexed,12,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,162.012,384.705,277.679,221.466,True,True,True,65536,multiplexed,12,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,163.136,403.041,293.564,238.82,True,True,True,65536,multiplexed,12,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,164.198,411.08,299.271,245.524,True,True,True,65536,multiplexed,12,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1139,259.004,414.167,300.314,152.921,True,True,True,65536,multiplexed,12,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,647.437,4169.249,4121.45,4009.509,True,True,True,65536,multiplexed,13,1
